"lon","lat","Tau","P_value","Sen_slope","meanmaxswe","Site_name","Magnitude","p.value","Significance","Years.of.Record","Method","elevation","MT_Latitude","MT_Longitude","sitemeanswe","distance","rank","NormSen_slope","NormMagnitude"
-117.6,52.5,0.088172048330307,0.496595144271851,18.2501475016267,0.429262991874449,"SUNWAPTA FALLS",15.714,0.22092,"no",31,"Standard MK",1400,52.54333,-117.6481,20.2451612903226,5.81417156290829,1,4.25150731534865,7.76185468451242
-118.1,52.8,0.113978505134583,0.376796722412109,17.39501953125,0.452502650599326,"MARMOT-JASPER",21.333,0.11002,"no",31,"Standard MK",1830,52.80667,-118.089444,25.0225806451613,1.02645908754445,1,3.84418069335303,8.52549954879463
-117.7,53.1,0.230107545852661,0.0716052055358887,15.99884033203,0.21708494617093,"STURGEON HEIGHTS",4,0.87841,"no",31,"Standard MK",720,53.066666,-117.683334,10.3838709677419,3.87010303554748,1,7.3698524997826,3.85212799005904
-116.2,53.6,0.122580654919147,0.341198682785034,6.55651092529252,0.078854130160424,"EDSON #2",13.077,0.19632,"no",31,"Standard MK",910,53.583332,-116.23333,10.441935483871,2.87642946913315,1,8.31473368858891,12.5235403151065
-115.4,53.5,0.079569898545742,0.540623068809509,5.22686884953431,0.0650460950789913,"LODGEPOLE",-0.769,0.94578,"no",31,"Standard MK",850,53.49333,-115.4261,8.06451612903226,1.87899209236093,1,8.03563817810563,-0.95356
-117.2,53.6,0.230107545852661,0.0716052055358887,17.4015760421751,0.0993578510899698,"OBED",17.5,0.06626,"no",31,"Standard MK",1090,53.566666,-117.21667,8.35161290322581,3.86646717396371,1,17.5140422737381,20.9540363074546
-117.9,53.6,0.337634444236755,0.00801491737365723,24.1670154389881,0.123247023551695,"HINTON",16.667,0.06893,"no",31,"Standard MK",1240,53.55388889,-117.9225,11.3741935483871,5.3381706041372,1,19.608599658272,14.6533465683494
-115.5,53.9,0.0623655952513218,0.634145855903625,6.12315009622012,0.0761211456791047,"PADDLE RIVER H.W.",-19.655,0.04672,"yes",31,"Standard MK",885,53.86889,-115.54305,6.66129032258065,4.46401500932166,1,8.04395420167845,-29.5062953995157
-115.3,53.9,0.0408602170646191,0.759653806686401,3.941535949707,0.0695360860516948,"MAYERTHORPE S.P.",-16.154,0.09221,"no",31,"Standard MK",760,53.866665,-115.316666,6.65806451612903,3.86427990294822,1,5.66833161529507,-24.2623062015504
-114.7,54,0.0193548407405615,0.891843914985657,0.982284545898377,0.0593836076797977,"MEADOWVIEW",4.211,0.67086,"no",31,"Standard MK",670,54.00333,-114.674722,8.91935483870968,1.6930590060722,1,1.65413416981156,4.72119349005425
